path,bytes,shows,provenance,presentation_status,needs
docs/diagrams/data-flow.mmd,725,First-party architecture/deployment/runtime/data-flow view,First-party Mermaid source; no vendor geometry,"Source inspected; useful architecture explanation, not performance evidence",Render using a Mermaid-capable viewer; keep current status boundaries
docs/diagrams/deployment-view.mmd,817,First-party architecture/deployment/runtime/data-flow view,First-party Mermaid source; no vendor geometry,"Source inspected; useful architecture explanation, not performance evidence",Render using a Mermaid-capable viewer; keep current status boundaries
docs/diagrams/runtime-flow.mmd,623,First-party architecture/deployment/runtime/data-flow view,First-party Mermaid source; no vendor geometry,"Source inspected; useful architecture explanation, not performance evidence",Render using a Mermaid-capable viewer; keep current status boundaries
docs/diagrams/system-architecture.mmd,846,First-party architecture/deployment/runtime/data-flow view,First-party Mermaid source; no vendor geometry,"Source inspected; useful architecture explanation, not performance evidence",Render using a Mermaid-capable viewer; keep current status boundaries
isaac/usd/props/dice_cup.usda,15271,Scene/prop layer with first-party definitions or external robot/game references,First-party layer; referenced vendor geometry/scenes are external,USD structure inspected; not a rendered performance record,Obtain dependencies and disclose vendor geometry; render locally; no performance inference
isaac/usd/scenes/synria_checkers/synria_checkers_v0.usda,56386,Scene/prop layer with first-party definitions or external robot/game references,First-party layer; referenced vendor geometry/scenes are external,USD structure inspected; not a rendered performance record,Obtain dependencies and disclose vendor geometry; render locally; no performance inference
isaac/usd/scenes/synria_chess/synria_chess_v0.usda,81575,Scene/prop layer with first-party definitions or external robot/game references,First-party layer; referenced vendor geometry/scenes are external,USD structure inspected; not a rendered performance record,Obtain dependencies and disclose vendor geometry; render locally; no performance inference
isaac/usd/scenes/synria_ludo/synria_ludo_v0.usda,21812,Scene/prop layer with first-party definitions or external robot/game references,First-party layer; referenced vendor geometry/scenes are external,USD structure inspected; not a rendered performance record,Obtain dependencies and disclose vendor geometry; render locally; no performance inference
isaac/usd/scenes/synria_ludo_arm/ludo_arm_v0.usda,1028,Scene/prop layer with first-party definitions or external robot/game references,First-party layer; referenced vendor geometry/scenes are external,USD structure inspected; not a rendered performance record,Obtain dependencies and disclose vendor geometry; render locally; no performance inference
isaac/usd/scenes/synria_mirrored/checkerstable_norobot_left.usda,447,Scene/prop layer with first-party definitions or external robot/game references,First-party layer; referenced vendor geometry/scenes are external,USD structure inspected; not a rendered performance record,Obtain dependencies and disclose vendor geometry; render locally; no performance inference
isaac/usd/scenes/synria_mirrored/chesstable_norobot_left.usda,444,Scene/prop layer with first-party definitions or external robot/game references,First-party layer; referenced vendor geometry/scenes are external,USD structure inspected; not a rendered performance record,Obtain dependencies and disclose vendor geometry; render locally; no performance inference
isaac/usd/scenes/synria_mirrored/ludotable_norobot_left.usda,456,Scene/prop layer with first-party definitions or external robot/game references,First-party layer; referenced vendor geometry/scenes are external,USD structure inspected; not a rendered performance record,Obtain dependencies and disclose vendor geometry; render locally; no performance inference
reports/g3_session_01/g3_demo.mp4,1449808,G3 simulated wrist view with ER-2 cup-fix latency/age overlay and ACT phase,First-party video/composition; vendor robot geometry depicted,"Frame inspected; useful diagnostic, not standalone success evidence","Caption simulated input, observation age, camera framing and source sidecar; no physical-performance claim"
reports/gate_audit/grasp_s1024_e12_vTrue.png,32573,Gate-input image; filename records step/episode and verdict,First-party simulation capture; vendor robot geometry depicted,Collection assessment; two representative images inspected,Show with verdict and ledger explanation; do not label a cropped view as physical ground truth
reports/gate_audit/grasp_s1071_e2_vFalse.png,23095,Gate-input image; filename records step/episode and verdict,First-party simulation capture; vendor robot geometry depicted,Collection assessment; two representative images inspected,Show with verdict and ledger explanation; do not label a cropped view as physical ground truth
reports/gate_audit/grasp_s1117_e6_vFalse.png,25470,Gate-input image; filename records step/episode and verdict,First-party simulation capture; vendor robot geometry depicted,Collection assessment; two representative images inspected,Show with verdict and ledger explanation; do not label a cropped view as physical ground truth
reports/gate_audit/grasp_s1215_e4_vTrue.png,28160,Gate-input image; filename records step/episode and verdict,First-party simulation capture; vendor robot geometry depicted,Collection assessment; two representative images inspected,Show with verdict and ledger explanation; do not label a cropped view as physical ground truth
reports/gate_audit/grasp_s144_e10_vFalse.png,40101,Gate-input image; filename records step/episode and verdict,First-party simulation capture; vendor robot geometry depicted,Collection assessment; two representative images inspected,Show with verdict and ledger explanation; do not label a cropped view as physical ground truth
reports/gate_audit/grasp_s145_e0_vFalse.png,33501,Gate-input image; filename records step/episode and verdict,First-party simulation capture; vendor robot geometry depicted,Collection assessment; two representative images inspected,Show with verdict and ledger explanation; do not label a cropped view as physical ground truth
reports/gate_audit/grasp_s148_e13_vTrue.png,26421,Gate-input image; filename records step/episode and verdict,First-party simulation capture; vendor robot geometry depicted,Collection assessment; two representative images inspected,Show with verdict and ledger explanation; do not label a cropped view as physical ground truth
reports/gate_audit/grasp_s1871_e4_vTrue.png,24655,Gate-input image; filename records step/episode and verdict,First-party simulation capture; vendor robot geometry depicted,Collection assessment; two representative images inspected,Show with verdict and ledger explanation; do not label a cropped view as physical ground truth
reports/gate_audit/grasp_s1914_e3_vTrue.png,24453,Gate-input image; filename records step/episode and verdict,First-party simulation capture; vendor robot geometry depicted,Collection assessment; two representative images inspected,Show with verdict and ledger explanation; do not label a cropped view as physical ground truth
reports/gate_audit/grasp_s1971_e10_vFalse.png,27219,Gate-input image; filename records step/episode and verdict,First-party simulation capture; vendor robot geometry depicted,Collection assessment; two representative images inspected,Show with verdict and ledger explanation; do not label a cropped view as physical ground truth
reports/gate_audit/grasp_s1978_e1_vFalse.png,28919,Gate-input image; filename records step/episode and verdict,First-party simulation capture; vendor robot geometry depicted,Collection assessment; two representative images inspected,Show with verdict and ledger explanation; do not label a cropped view as physical ground truth
reports/gate_audit/grasp_s2028_e9_vFalse.png,27530,Gate-input image; filename records step/episode and verdict,First-party simulation capture; vendor robot geometry depicted,Collection assessment; two representative images inspected,Show with verdict and ledger explanation; do not label a cropped view as physical ground truth
reports/gate_audit/grasp_s2398_e7_vFalse.png,28309,Gate-input image; filename records step/episode and verdict,First-party simulation capture; vendor robot geometry depicted,Collection assessment; two representative images inspected,Show with verdict and ledger explanation; do not label a cropped view as physical ground truth
reports/gate_audit/grasp_s239_e6_vFalse.png,23754,Gate-input image; filename records step/episode and verdict,First-party simulation capture; vendor robot geometry depicted,Collection assessment; two representative images inspected,Show with verdict and ledger explanation; do not label a cropped view as physical ground truth
reports/gate_audit/grasp_s2419_e8_vTrue.png,31339,Gate-input image; filename records step/episode and verdict,First-party simulation capture; vendor robot geometry depicted,Collection assessment; two representative images inspected,Show with verdict and ledger explanation; do not label a cropped view as physical ground truth
reports/gate_audit/grasp_s30_e7_vTrue.png,34663,Gate-input image; filename records step/episode and verdict,First-party simulation capture; vendor robot geometry depicted,Collection assessment; two representative images inspected,Show with verdict and ledger explanation; do not label a cropped view as physical ground truth
reports/gate_audit/grasp_s69_e5_vTrue.png,25929,Gate-input image; filename records step/episode and verdict,First-party simulation capture; vendor robot geometry depicted,Collection assessment; two representative images inspected,Show with verdict and ledger explanation; do not label a cropped view as physical ground truth
reports/gate_audit/grasp_s816_e15_vFalse.png,25329,Gate-input image; filename records step/episode and verdict,First-party simulation capture; vendor robot geometry depicted,Collection assessment; two representative images inspected,Show with verdict and ledger explanation; do not label a cropped view as physical ground truth
reports/gate_audit/grasp_s973_e5_vFalse.png,28748,Gate-input image; filename records step/episode and verdict,First-party simulation capture; vendor robot geometry depicted,Collection assessment; two representative images inspected,Show with verdict and ledger explanation; do not label a cropped view as physical ground truth
reports/gate_audit/grasp_s983_e11_vFalse.png,33222,Gate-input image; filename records step/episode and verdict,First-party simulation capture; vendor robot geometry depicted,Collection assessment; two representative images inspected,Show with verdict and ledger explanation; do not label a cropped view as physical ground truth
reports/gemini_action_viz/anno_000.png,33793,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_001.png,32793,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_002.png,34575,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
reports/gemini_action_viz/anno_003.png,34807,Recorded training/evaluation or diagnostic imagery/video; inspect associated run metadata,First-party report artifact; depicted geometry/provenance requires per-run review,Not individually visually reviewed; not selected for the evidence page,"Review episode plus manifest/provenance, label simulation/physical scope, caption scoring rule and failures"
